,Value,Active bound,Rob. Std err,Rob. t-test,Rob. p-value
b_SM_COST_constant_15_4,-1.0462324174046989,0.0,0.4507622628300775,-2.321029295655777,0.020285262793789505
b_SM_COST_constant_15_5,-0.9935183596539695,0.0,0.2783113729307069,-3.5698086973302834,0.00035724201696507585
b_SM_COST_constant_15_6,-1.2340194257287032,0.0,0.24155929082298078,-5.108557081470387,3.2462833665647395e-07
b_SM_COST_constant_15_7,-1.2849517851988488,0.0,0.182064205639411,-7.05768484632159,1.6930901125533637e-12
b_SM_COST_constant_15_8,-1.2934034608216856,0.0,0.23574494435389648,-5.486452591237967,4.100854145150379e-08
b_SM_COST_constant_15_9,-1.6398773216295492,0.0,0.16468249702897542,-9.957811857449657,0.0
b_SM_HE_constant_16_0,-0.14852196440471296,0.0,0.07310167228305763,-2.0317177400486788,0.04218223893942197
b_SM_TT_constant_14_1,-0.6747754124981827,0.0,0.8012428462073888,-0.8421609199909511,0.3996978853398221
b_SM_TT_constant_14_10,-2.306448371666741,0.0,2.6111528391416767,-0.883306536903027,0.3770706728851083
b_SM_TT_constant_14_11,-2.247426756766799,0.0,2.694685430637184,-0.8340219348851319,0.40426862342251635
b_SM_TT_constant_14_12,-2.415909533047033,0.0,2.858798507722283,-0.8450786323419074,0.3980669376519086
b_SM_TT_constant_14_13,-2.545323850255627,0.0,2.8659164559897548,-0.8881360951523586,0.37446754874301647
b_SM_TT_constant_14_14,-2.562262146691095,0.0,2.865982222933132,-0.894025833861872,0.3713080691067947
b_SM_TT_constant_14_15,-2.6561072708732594,0.0,2.8679419352403155,-0.9261370456060835,0.3543747640046693
b_SM_TT_constant_14_16,-3.284025806915379,0.0,2.888739780176279,-1.136836841259194,0.255606499026638
b_SM_TT_constant_14_17,-3.0809853505160754,0.0,2.888907067900176,-1.0664882178974047,0.28620300195010273
b_SM_TT_constant_14_18,-3.3613664707742674,0.0,2.870968902219067,-1.1708125672055019,0.2416741252160819
b_SM_TT_constant_14_19,-3.389034759147884,0.0,2.878470837344013,-1.177373317519858,0.2390465349405826
